Vendor,Product,Version,Vulnerabilities Fixed
.TUBE gTLD,.TUBE Video Curator,Unknown,CVE-2025-23799
0xPolygonZero,plonky2,= 1.0.0,CVE-2025-24802
1000 Projects,Attendance Tracking Management System,1.0,CVE-2025-0536
1000 Projects,Campaign Management System Platform for Women,1.0,"CVE-2025-0533, CVE-2025-0534"
1000 Projects,Employee Task Management System,1.0,"CVE-2025-0846, CVE-2025-0847"
1902756969,reggie,1.0,"CVE-2025-0401, CVE-2025-0402, CVE-2025-0403"
4wpbari,Qr Code and Barcode Scanner Reader,Unknown,CVE-2025-22819
5centsCDN,5centsCDN,Unknown,CVE-2025-22326
7-Zip,7-Zip,24.08 (x64),CVE-2025-0411
AGILELOGIX,Free Google Maps,Unknown,CVE-2025-22329
AIpost,AI WP Writer,Unknown,CVE-2025-22297
AWS,AWS Sign-in IAM Login Flow,Unknown,CVE-2025-0693
AWS,DeepJavaLibrary,0.1.0,CVE-2025-0851
AWcode & KingfisherFox,Salvador – AI Image Generator,Unknown,CVE-2025-23954
"AWcode, PDSonline",Unique UX,Unknown,CVE-2025-23625
AazzTech,WP Cookie,Unknown,CVE-2025-22578
Abinav Thakuri,WordPress Signature,Unknown,CVE-2025-22704
Acronis,Acronis Cyber Protect Cloud Agent,unspecified,"CVE-2025-24827, CVE-2025-24828, CVE-2025-24829, CVE-2025-24830, CVE-2025-24831"
Acronis,Acronis Snap Deploy,unspecified,CVE-2025-24826
AddFunc,AddFunc Mobile Detect,Unknown,CVE-2025-22550
AddonMaster,Post Grid Master,Unknown,CVE-2025-24733
Admiral,Ad Blocking Detector,Unknown,CVE-2025-22732
Adobe,Animate,0,CVE-2025-21135
Adobe,Illustrator on iPad,0,"CVE-2025-21133, CVE-2025-21134"
Adobe,Photoshop Desktop,0,"CVE-2025-21122, CVE-2025-21127"
Adobe,Substance3D - Designer,0,"CVE-2025-21136, CVE-2025-21137, CVE-2025-21138, CVE-2025-21139"
Adobe,Substance3D - Stager,0,"CVE-2025-21128, CVE-2025-21129, CVE-2025-21130, CVE-2025-21131, CVE-2025-21132"
Adrian Moreno,WP Lyrics,Unknown,CVE-2025-23533
Advantive,VeraCore,0,CVE-2025-25181
Akamai,Enterprise Application Access,0,CVE-2025-24527
AlTi5,AlT Report,Unknown,CVE-2025-23432
AlaFalaki,a Gateway for Pasargad Bank on WooCommerce,Unknown,CVE-2025-23966
Albdesign,Simple Project Manager,Unknown,CVE-2025-23497
Albertolabs.com,Easy EU Cookie law,Unknown,CVE-2025-23434
Aleapp,WP Cookies Alert,Unknown,CVE-2025-23821
Aleksandar Arsovski,Google Org Chart,Unknown,CVE-2025-23928
Aleksandar Urošević,Easy YouTube Gallery,Unknown,CVE-2025-24721
Alessandro Benoit,WpDevTool,Unknown,CVE-2025-23624
Alessandro Piconi - SabLab,Internal Link Builder,Unknown,CVE-2025-23989
Alessandro Staniscia,Simple Vertical Timeline,Unknown,CVE-2025-23856
Alex Furr and Simon Ward,Progress Tracker,Unknown,CVE-2025-23892
Alex Polonski,Smart Countdown FX,Unknown,CVE-2025-25117
Alex Thorpe,Easy Shortcode Buttons,Unknown,CVE-2025-23825
Alex Volkov,Chatter,Unknown,CVE-2025-23760
Alex Volkov,Woo Tuner,Unknown,CVE-2025-23761
Alexander Weleczka,FontAwesome.io ShortCodes,Unknown,CVE-2025-23824
Alexandros Georgiou,Bitcoin and Altcoin Wallets,Unknown,CVE-2025-24544
Alexey Trofimov,Captchelfie – Captcha by Selfie,Unknown,CVE-2025-23620
Alexey Yuzhakov,wp-pano,Unknown,CVE-2025-22780
AlgolPlus,Advanced Dynamic Pricing for WooCommerce,Unknown,CVE-2025-24632
Ali Ali,Alpha Price Table For Elementor,Unknown,CVE-2025-22500
AlphaBPO,Easy Code Snippets,Unknown,CVE-2025-23780
Amazon,WorkSpaces Client,3.0.0,CVE-2025-0501
Amazon,WorkSpaces Client,5.0.0,CVE-2025-0500
Amento Tech Pvt ltd,WPGuppy,Unknown,CVE-2025-24643
Amitythemes.com,Breaking News Ticker,Unknown,CVE-2025-25094
Andon Ivanov,OZ Canonical,Unknown,CVE-2025-22324
Andrea Brandi,Twitter Shortcode,Unknown,CVE-2025-23618
"Andrea Dotta, Jacopo Campani, di xkoll.com",Social2Blog,Unknown,CVE-2025-23461
Andrew Norcross,Google Earth Embed,Unknown,CVE-2025-25078
Andy Chapman,ECT Add to Cart Button,Unknown,CVE-2025-23471
Animati,PACS,1.24.12.09.03,CVE-2025-1085
Anshi Solutions,Category D3 Tree,Unknown,CVE-2025-23873
